table	columns	pk_cols	nullable_cols	default_cols
AREAS_PRIVATIVAS	26	1	13	14	1745
AREAS_PRIVATIVAS_HAS_CUOTAS	6	1	0	2	4864
AREAS_PRIVATIVAS_HAS_DCAT_USO_SUELO	7	1	3	1	1569
AREAS_PRIVATIVAS_IMAGENES	5	1	1	1	2
ARRENDAMIENTOS	29	1	27	2	572
ASISTENCIAS_CONVOCATORIA	8	1	3	2	0
CAT_CONCEPTOS_PRESUPUESTO	7	1	0	4	304
CAT_CONCEPTOS_PRESUPUESTO_BACKUP_20260203	6	0	0	4	145
CAT_FORMAS_PAGO	3	1	0	1	6
CAT_GRUPOS_COBRO	11	1	0	7	7
CAT_GRUPOS_COBRO_HISTORICO	5	1	0	1	9
CAT_GRUPOS_PRESUPUESTO	7	1	3	2	36
CAT_GRUPOS_PRESUPUESTO_BACKUP_20260203	7	0	3	3	18
CAT_GRUPO_PUESTOS	5	1	1	1	15
CAT_LLAMAR_A	4	1	0	1	10
CAT_MODULOS	4	1	0	2	33
CAT_PUESTOS	6	1	0	3	37
CAT_SANCIONES	5	1	1	2	3
CAT_SUBTIPOS_CONVOCATORIAS	8	1	3	2	10
CAT_TIPOS_CONCEPTO	3	1	0	1	2
CAT_TIPOS_CONVOCATORIAS	6	1	3	1	2
CAT_TIPOS_NOTIFICACIONES	4	1	0	2	3
CAT_TIPOS_TEMAS	3	1	0	1	3
CONTACTOS	9	1	2	4	24
CONVOCADOS	9	1	3	2	0
CONVOCATORIAS	19	1	10	4	0
CONVOCATORIAS_FECHAS	11	1	3	1	0
CONVOCATORIAS_HAS_INVITADOS_ESPECIALES	7	1	3	1	0
CONVOCATORIAS_INVITADOS	4	1	0	1	0
CUPONES_TOUR	9	1	3	4	0
DCAT_CALLES	4	1	0	1	53
DCAT_CATEGORIAS_COMERCIAL	8	1	3	1	23
DCAT_CATEGORIAS_GASTOS	3	1	0	1	0
DCAT_CATEGORIAS_NOTIFICACIONES	4	1	0	2	4
DCAT_CLASES_COMERCIOS	3	1	1	1	2
DCAT_GIROS	8	1	4	1	6
DCAT_SUBCATEGORIAS_COMERCIAL	9	1	4	1	179
DCAT_SUBZONAS	8	1	4	1	9
DCAT_TIPOS_FECHAS_CONVOCATORIAS	7	1	3	2	3
DCAT_USO_SUELO	11	1	3	5	23
DCAT_USO_SUELO_HISTORICO	6	1	0	2	186
DCAT_VARIOS	4	1	0	2	25
DCAT_ZONAS	10	1	4	4	14
DIRECTORIO	28	1	21	4	849
DIRECTORIO_HAS_ASIGNACIONES	9	1	4	2	5776
DIRECTORIO_HAS_CAT_PUESTOS	5	1	0	2	57
DIRECTORIO_HAS_COMERCIOS	10	1	6	1	299
GASTOS	10	1	4	2	817
HISTORICO_PAGOS	15	1	3	4	3650
HISTORICO_PAGOS_DETALLE	6	1	0	3	3662
HISTORICO_PAGOS_HAS_PAGOS	7	1	0	1	10252
INGRESOS	11	1	4	3	118
INVITADOS_ESPECIALES	8	1	5	1	0
NOTIFICACIONES	12	1	3	1	30
PAGOS	19	1	6	6	37502
PASSWORD_RESET_TOKENS	8	1	3	2	0
PRESUPUESTO	6	1	1	2	3
PRESUPUESTO_DETALLE	6	1	0	1	244
PRESUPUESTO_MES	6	1	0	3	2928
PRESUPUESTO_MES_CERRADO	5	1	1	2	17
PROYECTOS	31	1	15	7	1
PROYECTOS_DOCUMENTOS	6	1	0	2	14
PROYECTOS_FOLIO	3	1	0	1	2
REGISTROS_VISITANTES	10	1	4	4	0
RESUMEN_FINANCIERO	4	1	0	1	1
RESUMEN_FINANCIERO_MES	6	1	0	3	1
ROLES_CONDOMINAL	8	1	3	3	21
ROLES_CONDOMINAL_HAS_CAT_MODULOS	5	1	0	1	154
TAREAS	10	1	5	3	0
TAREAS_ASIGNACIONES	8	1	4	1	0
TEMAS	15	1	5	7	0
TICKETS	13	1	6	3	6
TICKETS_DEPARTAMENTOS	4	1	0	1	6
TOURS	11	1	4	5	0
VOTACIONES_CONVOCATORIAS	8	1	3	0	0
artistas	8	1	3	3	0
campos_contacto	11	1	2	6	4
disponibilidad_artistas	7	1	0	2	0
presentaciones_artistas	8	1	0	3	0
