legacy_table,action
AREAS_PRIVATIVAS,migrar
AREAS_PRIVATIVAS_HAS_CUOTAS,migrar
AREAS_PRIVATIVAS_HAS_DCAT_USO_SUELO,migrar
AREAS_PRIVATIVAS_IMAGENES,migrar
ARRENDAMIENTOS,migrar
ASISTENCIAS_CONVOCATORIA,migrar
CAT_CONCEPTOS_PRESUPUESTO,migrar
CAT_FORMAS_PAGO,migrar
CAT_GRUPOS_COBRO,migrar
CAT_GRUPOS_COBRO_HISTORICO,migrar
CAT_GRUPOS_PRESUPUESTO,migrar
CAT_GRUPO_PUESTOS,migrar
CAT_LLAMAR_A,migrar
CAT_MODULOS,migrar
CAT_PUESTOS,migrar
CAT_SANCIONES,migrar
CAT_SUBTIPOS_CONVOCATORIAS,migrar
CAT_TIPOS_CONCEPTO,migrar
CAT_TIPOS_CONVOCATORIAS,migrar
CAT_TIPOS_NOTIFICACIONES,migrar
CAT_TIPOS_TEMAS,migrar
CONTACTOS,migrar
CONVOCADOS,migrar
CONVOCATORIAS,migrar
CONVOCATORIAS_FECHAS,migrar
CONVOCATORIAS_HAS_INVITADOS_ESPECIALES,migrar
CONVOCATORIAS_INVITADOS,migrar
DCAT_CALLES,migrar
DCAT_CATEGORIAS_COMERCIAL,migrar
DCAT_CATEGORIAS_GASTOS,migrar
DCAT_CATEGORIAS_NOTIFICACIONES,migrar
DCAT_CLASES_COMERCIOS,migrar
DCAT_GIROS,migrar
DCAT_SUBCATEGORIAS_COMERCIAL,migrar
DCAT_SUBZONAS,migrar
DCAT_TIPOS_FECHAS_CONVOCATORIAS,migrar
DCAT_USO_SUELO,migrar
DCAT_USO_SUELO_HISTORICO,migrar
DCAT_VARIOS,migrar
DCAT_ZONAS,migrar
DIRECTORIO,migrar
DIRECTORIO_HAS_ASIGNACIONES,migrar
DIRECTORIO_HAS_CAT_PUESTOS,migrar
DIRECTORIO_HAS_COMERCIOS,migrar
GASTOS,migrar
HISTORICO_PAGOS,migrar
HISTORICO_PAGOS_DETALLE,migrar
HISTORICO_PAGOS_HAS_PAGOS,migrar
INGRESOS,migrar
INVITADOS_ESPECIALES,migrar
NOTIFICACIONES,migrar
PAGOS,migrar
PRESUPUESTO,migrar
PRESUPUESTO_DETALLE,migrar
PRESUPUESTO_MES,migrar
PRESUPUESTO_MES_CERRADO,migrar
PROYECTOS,migrar
PROYECTOS_DOCUMENTOS,migrar
PROYECTOS_FOLIO,migrar
RESUMEN_FINANCIERO,migrar
RESUMEN_FINANCIERO_MES,migrar
ROLES_CONDOMINAL,migrar
ROLES_CONDOMINAL_HAS_CAT_MODULOS,migrar
TAREAS,migrar
TAREAS_ASIGNACIONES,migrar
TEMAS,migrar
TICKETS,migrar
TICKETS_DEPARTAMENTOS,migrar
VOTACIONES_CONVOCATORIAS,migrar
